favorite_count,tweet_id,retweet_count
11271,808838249661788160,3536
8784,808733504066486276,2509
12595,808501579447930884,3007
47281,808344865868283904,24069
9701,808106460588765185,2525
14015,808001312164028416,4098
16236,807621403335917568,4288
107015,807106840509214720,56625
14514,807010152071229440,4418
75639,806629075125202948,37911
5370,806576416489959424,2230
11363,806542213899489280,2752
7145,806219024703037440,1388
9178,805932879469572096,2209
7335,805826884734976000,2132
6368,805520635690676224,1905
9773,805487436403003392,2929
8680,805207613751304193,1972
15326,804738756058218496,4480
6886,804475857670639616,2355
49774,804026241225523202,18876
11203,803773340896923648,3220
12270,803638050916102144,4828
8601,803380650405482500,2169
11207,803276597545603072,2887
10085,802952499103731712,2336
7938,802600418706604034,1714
9959,802572683846291456,2926
18124,802323869084381190,6808
7039,802265048156610565,1573
10132,802239329049477120,3040
8608,801958328846974976,1992
1958,801854953262350336,275
9141,801538201127157760,2391
6802,801285448605831168,960
27386,801167903437357056,6961
8992,801115127852503040,2429
778,800859414831898624,113
11701,800751577355128832,3214
14685,800513324630806528,3495
10538,800459316964663297,2489
12456,800388270626521089,3265
17092,800141422401830912,2980
31768,800018252395122689,15351
9390,799757965289017345,2506
8965,799422933579902976,2213
11065,799297110730567681,3227
9058,799063482566066176,2863
14712,798933969379225600,5203
8246,798925684722855936,1663
11548,798209839306514432,2954
13018,797971864723324932,3652
16198,797545162159308800,5656
22328,797236660651966464,7726
256,797165961484890113,32
8564,796865951799083009,2198
13256,796759840936919040,3562
8472,796484825502875648,2042
12334,796387464403357696,4861
36177,796149749086875649,16628
5511,796125600683540480,2079
10139,796116448414461957,2813
9469,796080075804475393,2703
12071,796031486298386433,4284
55683,795464331001561088,27728
11270,795400264262053889,3323
18139,795076730285391872,6288
11492,794926597468000259,2697
10686,794332329137291264,3088
10314,794205286408003585,3895
18910,793962221541933056,5711
10295,793845145112371200,2187
8926,793601777308463104,1908
11953,793500921481273345,2786
27597,793286476301799424,10723
9677,793271401113350145,2763
22350,793256262322548741,9714
11780,793241302385262592,3812
11001,793226087023144960,3338
9997,793210959003287553,3301
17063,793195938047070209,6547
7740,793180763617361921,2310
10478,793165685325201412,3238
6909,793150605191548928,1984
7214,793135492858580992,2893
14202,793120401413079041,4551
16063,792913359805018113,4715
12666,792883833364439040,4964
8209,792773781206999040,1963
15128,792394556390137856,4998
8029,792050063153438720,2088
37818,791774931465953280,21156
13129,791672322847637504,3661
14670,791406955684368384,4797
9841,791312159183634433,2963
11089,790987426131050500,2483
18601,790946055508652032,5496
9158,790698755171364864,2203
22473,790581949425475584,8183
8740,790337589677002753,2167
14081,790277117346975746,3732
10369,789986466051088384,2704
11673,789903600034189313,4858
8448,789628658055020548,2080
7620,789599242079838210,2279
13188,789530877013393408,3942
9615,789314372632018944,2666
10196,789268448748703744,3014
10875,789137962068021249,3244
30653,788908386943430656,14409
30658,788765914992902144,12014
16060,788412144018661376,5990
8100,788178268662984705,2488
6865,788150585577050112,1510
6867,788039637453406209,1535
9717,787810552592695296,3540
11416,787717603741622272,3240
12120,787397959788929025,3300
8726,787322443945877504,2032
29725,786963064373534720,9327
20296,786709082849828864,7069
11957,786664955043049472,2996
10497,786595970293370880,3601
12189,786363235746385920,4072
8930,786286427768250368,3352
17178,786233965241827333,5571
1614,786051337297522688,179
12696,785927819176054784,3652
7489,785872687017132033,2130
8735,785639753186217984,2561
10183,785533386513321988,2334
6800,785515384317313025,1477
8128,785264754247995392,1911
13491,785170936622350336,5639
11310,784826020293709826,3712
10039,784517518371221505,2970
6329,784431430411685888,1491
22513,784183165795655680,9374
33505,784057939640352768,12953
33689,783839966405230592,12643
8209,783821107061198850,2269
11650,783695101801398276,3737
9468,783466772167098368,2608
18908,783391753726550016,6441
32651,783334639985389568,13616
9112,783085703974514689,2565
26949,782969140009107456,8521
8310,782747134529531904,1604
19250,782722598790725632,6238
8694,782598640137187329,2184
18630,782305867769217024,6470
12357,781955203444699136,3920
11634,781661882474196992,3129
4466,781655249211752448,1314
23163,781524693396357120,6426
7973,781308096455073793,2961
9428,781251288990355457,2458
10895,781163403222056960,3168
24192,780931614150983680,8536
8033,780858289093574656,2328
6141,780800785462489090,1505
13525,780601303617732608,3839
7040,780543529827336192,2032
5892,780459368902959104,1224
9712,780192070812196864,2589
13723,780074436359819264,5815
21252,779834332596887552,8237
9831,779377524342161408,3613
13206,779123168116150273,4207
16500,779056095788752897,5247
22342,778990705243029504,8437
955,778764940568104960,426
7717,778748913645780993,1562
6430,778650543019483137,1729
5177,778624900596654080,1176
15135,778408200802557953,5023
6515,778383385161035776,1271
11576,778286810187399168,3836
9417,778039087836069888,3065
7320,778027034220126208,1885
7078,777885040357281792,1893
12518,777684233540206592,3403
9742,777621514455814149,2910
15921,777189768882946048,4999
5444,776813020089548800,1405
9858,776477788987613185,3249
33345,776218204058357768,18497
10681,776201521193218049,2919
13102,776113305656188928,5068
2045,776088319444877312,179
13022,775842724423557120,3116
15413,775733305207554048,4627
14361,775729183532220416,5302
8295,775364825476165632,3472
11309,775350846108426240,4532
17281,775085132600442880,5488
9462,774757898236878852,2035
7508,774639387460112384,2013
24167,774314403806253056,6478
11925,773985732834758656,4492
7110,773922284943896577,1999
7317,773704687002451968,1891
5935,773670353721753600,1501
24553,773547596996571136,7126
25846,773308824254029826,8640
10414,773247561583001600,3699
11117,773191612633579521,4736
9555,772877495989305348,4501
8842,772826264096874500,2669
7192,772581559778025472,1968
6665,772193107915964416,1612
4181,772152991789019136,1300
4165,772117678702071809,848
3005,772114945936949249,546
4448,772102971039580160,1065
7298,771908950375665664,2181
13356,771770456517009408,3924
9167,771500966810099713,3018
11746,771380798096281600,5912
10223,771136648247640064,3357
6898,771102124360998913,1663
7032,771014301343748096,1782
5498,770787852854652928,1415
5749,770772759874076672,1626
8130,770655142660169732,2013
6987,770414278348247044,2390
6923,770293558247038976,1718
8385,770069151037685760,2651
34948,769940425801170949,11131
7101,769695466921623552,1926
5980,769212283578875904,1969
16017,768970937022709760,7574
4660,768855141948723200,1034
4580,768609597686943744,1382
5592,768596291618299904,1473
15110,768473857036525572,3958
12157,768193404517830656,4080
5309,767884188863397888,1634
17814,767754930266464257,6221
8295,767500508068192258,2688
13643,767191397493538821,4406
11227,767122157629476866,3261
5650,766793450729734144,1565
2872,766714921925144576,438
4484,766693177336135680,918
6671,766423258543644672,1825
7493,766313316352462849,2166
4765,766069199026450432,1003
4149,766008592277377025,571
8021,765719909049503744,2475
5760,765669560888528897,1407
20539,765395769549590528,3127
7842,765371061932261376,2475
12902,765222098633691136,3914
7099,764857477905154048,2029
6718,764259802650378240,1745
812,763956972077010945,61
14041,763837565564780549,4858
6004,763183847194451968,1702
8163,763103485927849985,2602
13518,762699858130116608,4190
12571,762471784394268675,7612
11503,762464539388485633,4839
5350,762316489655476224,1298
35400,762035686371364864,17919
5992,761976711479193600,2310
4707,761745352076779520,979
55016,761672994376806400,33421
4578,761599872357261312,1336
5792,761334018830917632,1669
4957,761292947749015552,1265
5908,761227390836215808,1775
12482,761004547850530816,3952
4228,760893934457552897,1104
7343,760656994973933572,2210
5485,760641137271070720,1481
8399,760539183865880579,4168
4681,760521673607086080,1608
29618,760290219849637889,13140
4338,760252756032651264,995
6334,760190180481531904,2079
6581,759943073749200896,2382
16284,759923798737051648,6521
7433,759846353224826880,2265
6620,759793422261743616,2173
5202,759557299618865152,1341
9418,759447681597108224,2827
1846,759446261539934208,561
6725,759197388317847553,2221
16101,759099523532779520,4813
7227,759047813560868866,2302
3904,758854675097526272,1027
12376,758828659922702336,4376
6339,758740312047005698,1824
4227,758474966123810816,1132
5316,758467244762497024,2539
